日语,汉语,假名,音调,备注
パソコン,个人计算机,パソコン,0,personal computer
鉛筆,鉛筆,えんぴつ,0,
消しゴム,橡皮,けしゴム,3,
万年筆,自来水笔，钢笔,まんねんひつ,3,
修正液,涂改液,しゅうせいえき,3,
ボールパン,圆珠笔,ボールパン,4,ball-point pen
事務機械,办公设备,じむきかい,3,
ワープロ,日文打字机,ワープロ,2,word process
コピー,复印机,コピー,1,copier
ファクシミリ,传真机,ファクシミリ,2,facsimile printer
ストン,四通集团公司,ストン,3,Stone Group Co.
タイプライター,打字机,タイプライター,1,typewriter
ロッカー,文件柜，存放柜,ロッカー,1,locker
本,书,ほん,1,
日本語,日本語,にほんご,0,
ノート,笔记本,ノート,1,note
雑誌,杂志,ざっし,0,
日本語版,日语版,にほんごばん,4,
新聞,报纸,しんぶん,0,
辞典,辞典,じてん,0,
年鑑,年鉴,ねんかん,0,
日本工業年鑑,日本工业年鉴,にほんこうぎょうねんかん,8,
教育館,教学楼,きょういくかん,4,
文史館,文史楼,ぶんしかん,3,
図書館,图书馆,としょかん,2,
