组别,日语,汉语,注释
14,ぶんがく,文学,
14,とくてい,特定,
14,さくしゃ,作者,
14,せいき,世紀,
14,せいじ,政治,
14,ふっかつ,復活,
14,せいしつ,性質,
14,だいひょう,代表,
14,しゅるい,種類,
14,げんじものがたり,源氏物語,
15,ろうじん,老人,
15,こうこつ,恍惚,
15,しょうせつ,小説,
15,さっか,作家,
15,ひゃくしょう,百姓,
15,ふうしゅう,風習,风俗习惯
15,みちしるべ,道標,路标
15,じぶん,自分,自己
15,しゃかいほしょう,社会保障,
15,なみだ,涙,
16,ちゅうしん,中心,
16,けっか,結果,
16,じりゅう,時流,时尚，时代潮流
16,てま,手間,时间和劳动，功夫
16,ゆうがた,夕方,傍晚
16,ふきゅう,普及,
16,しんしゅつ,進出,进入，参观，出现
16,しこう,嗜好,
16,ごうりか,合理化,
16,でまわり,出回り,上市
16,れいとうしょくひん,冷凍食品,
16,つとめがえり,勤め帰り,下班回家
17,しゅほう,手法,
17,けいけん,経験,
17,げんじつ,現実,
17,かこ,過去,
17,むじょう,無常,
17,しょみん,庶民,
17,きんせい,近世,近代
17,にんげん,人間,
17,しんちゅう,心中,双双殉情
17,つれづれぐさ,徒然草,
18,かて,糧,粮食
18,みっせつ,密接,密切
18,きょがく,巨額,
18,げいじゅつか,芸術家,
18,ふかけつ,不可欠,不可缺少，必须
18,ふゆかい,不愉快,
18,ふかのう,不可能,
18,そうぞうせい,創造性,
18,ぎゅうじる,牛耳る,掌握，操纵，支配，驾驭
18,はやる,流行る,流行，崇尚
19,はら,腹,
19,はな,鼻,
19,あし,脚,
19,へび,蛇,
19,たいこ,太鼓,鼓
19,じょうだん,冗談,笑话，玩笑
19,じぶん,自分,自己
19,であう,出会う,遇上，碰见
19,ひとのはなし,人の話,别人的话
19,いいかげん,好い加減,靠不住，马虎
20,ぶっきょう,仏教,
20,しんとう,神道,
20,ちょうさ,調査,
20,とくちょう,特徴,
20,しゅうかん,習慣,
20,こうふく,幸福,
20,ほうさく,豊作,丰收
20,さいがい,災害,
20,よぼう,予防,
21,ちょうたつ,調達,筹措
21,ぶんり,分離,
21,けいえい,経営,
21,へんきゃく,返却,归还，退还
21,やくだつ,役立つ,有用，有益
21,かぶしきせい,株式制,股份制
21,しょゆうせい,所有制,
21,しゃかいしゅぎ,社会主義,
21,ぎじゅつかいぞう,技術改造,
21,ぼうとうぼうらく,暴騰暴落,暴涨狂跌
22,たね,種,种籽
22,はか,墓,
22,りゅうでん,流伝,流传
22,ひゃっこう,百工,百科工匠
22,さいだい,最大,
22,しっせい,執政,
22,さくしゅ,搾取,
22,あっぱく,圧迫,压迫
22,ふんしょこうじゅ,焚書坑儒,
23,ぼうしょく,紡織,
23,とくちょう,特徴,
23,きんぞく,金属,
23,ざいほう,財宝,
23,ぶき,武器,
23,たいしょう,対照,
23,きょうどうたい,共同体,
23,ちょうせんはんとう,朝鮮半島,
23,ひんぱんおうらい,頻繁往来,
23,とうさくのうこう,稲作農耕,
23,かいきゅうしゃかい,階級社会,
23,しはいたいせい,支配体制,
24,ぜんしゃ,前者,
24,しょくにん,職人,手艺人，工匠
24,はんちゅう,範疇,
24,ついきゅう,追究,
24,ゆうごう,融合,
24,おうよう,応用,应用
24,げかい,外科医,
24,ふかけつ,不可欠,
24,とっぱこう,突破口,
24,せいぶつがく,生物学,
24,ぶつりがく,物理学,
24,ゆうきかがく,有機化学,
25,もうしあげる,申し上げる,（ いう的自谦敬语）说
25,ほのじろい,ほの白い,灰白的
25,ゆうやみ,夕やみ,薄暮
25,きえさる,消え去る,消失
25,ゆれうごく,揺れ動く,摇曳，摇摆
25,いきのこる,生き残る,生存下来
